2025-08-18 09:37:14,497 INFO    MainThread:40990 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_setup.py:_flush():81] Configure stats pid to 40990
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_setup.py:_flush():81] Loading settings from /home/ha51dybi/.config/wandb/settings
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_setup.py:_flush():81] Loading settings from /home/ha51dybi/PEBAL/code/wandb/settings
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/ha51dybi/PEBAL/code/wandb/run-20250818_093714-7jm2oj7c/logs/debug.log
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/ha51dybi/PEBAL/code/wandb/run-20250818_093714-7jm2oj7c/logs/debug-internal.log
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_init.py:init():831] calling init triggers
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'model_path': '/home/ha51dybi/PEBAL/code/ckpts/pretrained_ckpts/cityscapes_best.pth', 'num_classes': 19, 'projection_dim': 128, 'proj_hidden_dim': 512, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'batch_size': 1, 'total_iterations': 10000, 'weight_update_frequency': 200, 'lambda_ood': 0.5, 'beta_border': 64.0, 'beta_sampling': 64.0, 'sampled_memory_size': 10000, 'max_aux_samples_for_weight_update': 10000, 'max_samples_per_class': 1000, 'use_mixed_precision': True, 'use_adaptive_beta': True, 'use_enhanced_sampling': True, 'use_quality_filtering': True, '_wandb': {}}
2025-08-18 09:37:14,498 INFO    MainThread:40990 [wandb_init.py:init():872] starting backend
2025-08-18 09:37:14,736 INFO    MainThread:40990 [wandb_init.py:init():875] sending inform_init request
2025-08-18 09:37:14,774 INFO    MainThread:40990 [wandb_init.py:init():883] backend started and connected
2025-08-18 09:37:14,776 INFO    MainThread:40990 [wandb_init.py:init():956] updated telemetry
2025-08-18 09:37:14,802 INFO    MainThread:40990 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-08-18 09:37:15,249 INFO    MainThread:40990 [wandb_init.py:init():1032] starting run threads in backend
2025-08-18 09:37:15,364 INFO    MainThread:40990 [wandb_run.py:_console_start():2453] atexit reg
2025-08-18 09:37:15,364 INFO    MainThread:40990 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-08-18 09:37:15,364 INFO    MainThread:40990 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-08-18 09:37:15,364 INFO    MainThread:40990 [wandb_run.py:_redirect():2393] Redirects installed.
2025-08-18 09:37:15,368 INFO    MainThread:40990 [wandb_init.py:init():1078] run started, returning control to user process
